B;VANGAPW;89562040;0,80;13
B;PV3ZNS55L;50308641;0,53;5
B;BQ79QYZD;18161263;0,08;20
B;R/RJGDA;40045028;0,47;15
B;H7UN2MGG;54911421;0,40;10
B;B8JXNZ11L;45345711;0,94;9
B;OD2Q357FLW;34310326;0,03;12
J;J8B5RRD9FJ;73242607;0,30;7;Green Meat;0,07;0,43;magas
B;ZHEK78GCJ/E;77114651;0,67;2
J;L42WPHTI;89284391;0,08;18;chatGPT for president project;0,10;0,32;magas
J;R7ZV8OZGY;12916505;0,16;7;Searching UFO;0,04;0,34;magas
J;LI77A2W5/N;67491372;0,14;5;Costa Coffee;0,47;0,53;mersekelt
B;WXKAPUF;90413284;0,85;20
B;H0ASTR6YMFL;29226135;0,75;9
B;H3J2AMYCI;16067098;0,19;18
B;PN3XO9XSZ;85530831;0,33;6
B;H4U3HTXD;26148765;0,64;3
J;ZE19PRSV93P;66982132;0,82;8;PlayStation;0,20;0,20;mersekelt
J;C81ZU//1U;72218321;0,96;9;Costa Coffee;0,15;0,54;alacsony
B;YKIWBDJ;75412733;0,45;6
B;X4G8ZNQ;9315715;0,47;1
B;QN99DGH;96805588;0,51;4
B;YBFXEFVU;62659297;0,54;3
J;X35WYXM6G;44677923;0,66;9;NASA;0,30;0,93;alacsony
B;H1Z95I9GW;32844450;0,49;4
B;K1MU0FAV;28388358;0,39;20
B;H5MVEFU;12456084;0,90;19
B;QJ2Z4NYY;37756852;0,88;4
B;CWETDTZN;2357696;0,92;8
J;C068YV69I;20197458;0,38;15;Space X;0,17;0,82;mersekelt
B;LLX1/QN;53872430;0,14;6
J;H1OIN4NC;13386417;0,18;19;chatGPT for president project;0,21;0,97;mersekelt
B;V78FNHE;49995263;0,46;14
B;I77DI3H;89689275;0,61;13
J;VDPSZOL;63391153;0,70;6;NASA;0,28;0,34;alacsony
B;MC1XEYLZ;19429728;0,05;12
B;H1RKUSDGMV;50587964;0,73;17
B;EMOHR/HY;81892156;0,28;10
B;A1URYDWQTR;68604705;0,73;15
B;UD/8WWFY;74118644;0,13;7
B;B29HVMX;73177906;0,51;11
J;CTCAQBGFP;48886119;0,47;19;chatGPT for president project;0,20;0,65;alacsony
B;ODPBO5MT;29551765;0,94;3
J;YODHOVKYC;4668816;0,74;17;Coca Cola;0,22;0,35;alacsony
B;FMSVA6W;31427309;0,84;18
J;PBGUFPA4N;78995214;0,73;6;Leaf Walk Project;0,02;0,97;magas
B;ZB11/V/K;49834081;0,92;10
B;P/WTYC3OK;90555596;0,63;12
B;FAI8R2G;74841575;0,22;15
J;HVIH42QCV;94309241;0,71;19;Green Meat;0,27;0,41;mersekelt
B;A3OL84V;50664948;0,85;18
J;AUEUN32XZ;90675621;0,62;16;Google;0,43;0,58;alacsony
B;E2QJE7C;66113720;0,62;14
B;GMUANVT2MZD;21338192;0,37;13
B;LBGPRCC8J;2326466;0,83;13
B;NTTLOE34IE;23977166;0,03;16
J;ZRO4IQNAE;79258606;0,86;2;Costa Coffee;0,14;0,80;mersekelt
B;EJ8G53I;27533123;0,41;13
B;V3U8/JK;4392365;0,34;13
B;RGPB3L3YD;48920332;0,97;16
B;NL88U1MT;42213584;0,62;15
B;TFJI8OG;81471398;0,20;9
J;VSMB1TDWY;96152458;0,58;3;Twitter;0,15;0,78;magas
B;Q9I52AX1IU;88295266;0,59;5
B;T35A5L/UZ;32164066;0,57;7
B;YII8W35TC;35122208;0,50;7
B;SE2QWXN;35723446;0,60;4
B;JD3MTEP;97041858;0,08;20
J;OZH7/P8Y;65523879;0,37;12;NASA;0,44;0,79;magas
B;PB9NC8S;57787494;0,22;19
J;S4HIA0FTWW;71976215;0,94;4;Help Trisolaris;0,15;0,70;mersekelt
J;MDENB5BXNMQ;42787178;0,39;14;Costa Coffee;0,22;0,38;mersekelt
B;Q1HSQ1I5C;33743184;0,18;6
B;FCH4B0ODT;24459995;0,23;15
B;K94C6RZ;12602938;0,16;7
B;QLFW/YJ;9333188;0,94;12
J;VBCP2VQZ;84663711;0,19;5;OTP;0,35;0,55;alacsony
B;B4WPQBEGT;24605816;0,59;12
B;A/S3664MDK;68221632;0,60;8
B;AZJWJNJ29X;84604265;0,74;2
B;Z05C6KPL;29852907;0,82;16
B;SUOCM7LHNE;41136784;0,86;14
B;X/LPKROG;75809753;0,26;12
B;B/94WODUF;65824526;0,08;19
B;SHHUES4BFI;29511283;0,23;11
B;U1WERNEUJ;38196408;0,96;7
B;BYXUFBHD;56808344;0,15;4
B;QOZCUMB;19041195;0,37;20
J;ZL61WNMET;27839615;0,67;19;How to live longer;0,04;0,96;alacsony
B;MN0OLGEE;97936382;0,12;6
B;NKB07ET5US;30337370;0,42;13
B;ZNTU83S;14079754;0,06;17
B;MSHPO7X9U;26479599;0,95;14
B;H1TDHWH;65148684;0,12;11
B;XG7PG4UV;16097851;0,40;4
B;HA8369SY;54319720;0,56;19
B;KK1LPUJKB;65341023;0,46;4
B;EGHLHDPAB;95918312;0,43;13
B;G0Y546Y;16206954;0,09;6
B;O/44UUQMF;97698466;0,68;20
B;BNVJLTJ;86375834;0,44;17
B;Y6DN3IU;18508488;0,39;6
J;ASIGMEG4L;55986558;0,81;19;Google;0,09;0,11;magas
B;CPP8DPU;91072407;0,48;2
B;KVGFXBDJY;67842346;0,15;12
B;STECJN67Y;57410377;0,87;19
B;LS/4YOLP;31935114;0,34;7
J;XT/KY/RK;97650350;0,79;14;Twitter;0,49;0,87;mersekelt
B;BHFXJPB;3454993;0,35;17
B;FAXT4FBO;37107130;0,22;15
B;GT/X53N;84366204;0,56;20
B;SFAXU37F;29833475;0,78;13
J;AS/AQH3DK;70231883;0,28;6;Costa Coffee;0,06;0,80;magas
B;Y8ABOAK;82101759;0,02;1
B;G1/X4VDVO;9674314;0,34;16
B;Y3XEQ6PU;69056310;0,75;1
B;PJW7NDL;26359382;0,79;6
J;NJL30EFBE;11219082;0,31;7;OTP;0,22;0,73;alacsony
J;AMZ/9PJBIB;48173996;0,32;3;Researching projects on IIS;0,32;0,75;magas
B;R/QFU0MH;38779272;0,38;4
B;JKRY1MM516G;76775458;0,46;11
B;DO61KN34N;3842779;0,49;3
J;Q46YVSZBE;16630168;0,93;14;TechniXXX;0,27;0,41;alacsony
J;NWV0H1KKZ;42621180;0,35;14;Space X;0,15;0,31;alacsony
B;C6JYTFDE;3067836;0,74;3
B;BNMKRJ3VMHL;76401992;0,35;1
B;E6SNUAV;85668198;0,96;8
B;ANC1HVHZC;94168082;0,59;11
J;X3VS4XO;98415815;0,68;8;Costa Coffee;0,08;0,22;mersekelt
B;BW2TW76MAWG;3652533;0,08;16
J;EZJ36WP9X;10331918;0,64;13;chatGPT for president project;0,09;0,35;magas
B;ETRQF1OLN;76152125;0,67;3
B;QR28ZM3F;69721663;0,77;11
B;Q7IXCMH0D;52083110;0,32;11
J;EIWHQPISB;1057663;0,23;13;How to live longer;0,46;0,70;alacsony
B;IRWUWPIE;90119803;0,58;2
J;SIGCL6B35Q;78802796;0,08;16;Searching UFO;0,36;0,41;mersekelt
B;L715QAPYFZ;93583259;0,41;8
J;U6AHOXF/M;73702898;0,76;14;Google;0,32;0,84;mersekelt
B;UHYLFSZBE;37058115;0,71;12
B;TGII0UW;97157540;0,03;20
B;LEQM4RG;25772669;0,07;19
B;EWSABTRNR;48734333;0,65;1
J;TMGRZ7R;63046691;0,98;19;chatGPT for president project;0,15;0,79;magas
J;PX0HJ27OP;95178668;0,19;4;Dreher;0,38;0,51;magas
B;NWOITRT;99256945;0,68;18
J;LZOGXDMPX;5035814;0,38;1;Searching UFO;0,13;0,62;mersekelt
J;XZU9D1E;58831464;0,65;19;Space X;0,23;0,89;alacsony
B;S5G843T6D;22744303;0,38;2
B;PYMKR3IU;36264794;0,76;8
B;QL8/0KOOX;56960021;0,72;18
J;D1Q7BR6V;85691045;0,57;16;Researching projects on IIS;0,37;0,84;mersekelt
B;JX/K3LVDBZ;42931670;0,35;14
B;PD74TOK;67394626;0,91;16
B;TSFPYTL7H;6536883;0,63;3
J;G/GGN9S;42554756;0,05;2;Qubit;0,17;0,23;alacsony
J;PMVDEVN3G;1696698;0,87;10;Green Meat;0,08;0,24;mersekelt
B;WKL1QRY1X;25750797;0,34;18
J;XBYSB/EACQ;73156867;0,66;9;Researching projects on IIS;0,04;0,07;alacsony
B;UN6LJXIDK;77087768;0,48;5
J;SIOU6B3P;22549532;0,11;14;Costa Coffee;0,14;0,85;magas
B;W5G2AQBPFT;94007064;0,90;11
B;A/JR9ID;6892757;0,78;17
B;EF31/SEW;4792398;0,43;20
B;ADIWH2AFJ;57763373;0,61;4
J;UJ26ZJEN;68393153;0,17;7;OTP;0,02;0,33;alacsony
J;ZW0HK3M;7603006;0,42;18;NASA;0,42;0,57;alacsony
J;OIH9PUBP;10108997;0,19;12;OTP;0,23;0,96;alacsony
B;I/VJUQ5JW;19893675;0,22;20
B;HD02P3U9C;64416319;0,81;6
J;QBLBXPU/PEJ;52397124;0,23;11;Researching projects on IIS;0,44;0,71;magas
J;ZXMFA2E;25174699;0,54;13;Coca Cola;0,15;0,98;magas
B;HCBD4WQ;16046821;0,69;8
B;DV9AXA7VW;66764406;0,96;5
B;WWK0ERPOV;76147688;0,29;13
B;EE7J9LRXH;30679524;0,57;12
B;DUNFU7BBVZ;30609556;0,10;13
B;HZMAJWW6M;56525665;0,78;15
B;HK7/EPI0E;27293675;0,90;18
B;SVV1O18E;60922152;0,76;5
J;IF24Z7A5W;8228183;0,32;11;TechniXXX;0,32;0,89;alacsony
J;FABKEMF;19519782;0,76;16;Google;0,29;0,52;magas
B;SEQYNXGE;73923023;0,52;19
B;SOUY63EUK;69306700;0,61;1
J;NGZZRQK;44566159;0,22;4;Leaf Walk Project;0,41;0,69;magas
B;J6KIHW68BF;45290405;0,78;8
J;YG1L6OVAYGV;15057655;0,78;9;Costa Coffee;0,19;0,62;magas
B;IDYMGSWX;16140436;0,33;7
J;P/WLKULHQ;45782643;0,07;8;Google;0,29;0,38;mersekelt
B;E4FAQYMY;31810161;0,23;10
B;Z4V20938FM;48044584;0,90;1
B;D7D0EEPY;19989357;0,59;7
B;GW11FSQ;20706636;0,33;5
B;LJ/70MB3R;10655504;0,44;7
B;TCD1EWY5T;68329672;0,16;1
B;QW1Y6R6C7H;15960298;0,65;7
B;JR9/HDZ;63828666;0,60;15
B;ZU8NPPEV;19325045;0,40;18
J;JC6MYFPB;50459541;0,47;15;Researching projects on IIS;0,34;0,62;alacsony
B;L1DKW12JA;47680609;0,13;11
B;B/IDKO8ZA;30379907;0,06;14
B;OYTESIYR7Z;86333443;0,56;10
B;F5AWU534X;72345032;0,17;5
B;WGWKR30O;48838886;0,77;1
B;IQNARHZZ;82272823;0,45;15
J;UXRWRLSM0K;81498958;0,74;2;How to live longer;0,05;0,69;alacsony
B;KLY2A2RJB;28922070;0,11;8
B;SLZ7NNES;86599215;0,96;20
B;GH9CGI30C;11117980;0,38;3
B;CBRQ/QSGO;36148926;0,55;13
B;FK6FV158BXV;90361455;0,18;3
B;DDL1LER;70611898;0,65;2
B;PPKJ031W;25508677;0,39;16
J;QRQF6L53C;11007775;0,03;4;Leaf Walk Project;0,46;0,87;magas
B;N1Q67E9U;44308609;0,56;13
B;Z99OZCE;28410159;0,07;19
B;J6V81651I;79976040;0,97;16
B;X21S9MO;23321050;0,67;18
